Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2012-02-18,0.33761225656409205,0.35718835563727036,0.03463013952315965,0.28913910844363944,0.3855830771506489,0.3063288544804099,0.40373007816202855,0.9244556474005177,0.7734709797684052,0.2659169967503622,0.24886338657120896,0.2116389433337675,0.15393454396572603,0.23273116765276003,0.9399149665980189,0.21577441959730967,0.19461844978468543,0.2628463906715245,0.32328362769121183,0.1721083459807126,0.6897711319432163,0.16733775908370177
2012-02-19,0.33766066909846965,0.3580179770807695,0.03454766108908388,0.28918006044746924,0.38609950715373353,0.30664326225504757,0.40399691760145384,0.9278693660708851,0.7734709797684052,0.26435457671565243,0.24733262997112102,0.2108246749968873,0.14876237233570844,0.23218576990389744,0.9413228314213241,0.21509046996334352,0.1934425644888324,0.2633209107025132,0.32393716976468273,0.17213183703383172,0.6900150347243308,0.16769282855973672
2012-02-20,0.3377090816328472,0.3588475985242686,0.03446518265500811,0.28922101245129905,0.38661593715681825,0.30695767002968516,0.4042637570408792,0.9312830847412525,0.7734709797684052,0.26279215668094263,0.24580187337103307,0.21001040666000712,0.1435902007056908,0.23164037215503486,0.9427306962446294,0.2144065203293774,0.1922666791929794,0.26379543073350187,0.3245907118381536,0.17215532808695086,0.6902589375054454,0.1680478980357717
2012-02-21,0.3377574941672248,0.35967721996776775,0.03438270422093233,0.28926196445512886,0.3871323671599029,0.3072720778043228,0.4045305964803045,0.93469680341162,0.7734709797684052,0.2612297366462329,0.2442711167709451,0.20919613832312692,0.1384180290756732,0.2310949744061723,0.9441385610679346,0.21372257069541126,0.19109079389712638,0.26426995076449056,0.3252442539116245,0.17217881914007,0.6905028402865601,0.16840296751180664
2012-02-22,0.3378059067016023,0.3605068414112669,0.034300225786856556,0.28930291645895867,0.38764879716298756,0.30758648557896046,0.4047974359197298,0.9381105220819874,0.7734709797684052,0.25966731661152315,0.24274036017085715,0.20838186998624675,0.1332458574456556,0.2305495766573097,0.9455464258912398,0.2130386210614451,0.18991490860127336,0.26474447079547925,0.32589779598509533,0.17220231019318913,0.6907467430676746,0.1687580369878416
2012-02-23,0.3378543192359799,0.361336462854766,0.034217747352780783,0.2893438684627885,0.3881652271660722,0.30790089335359805,0.4050642753591551,0.9415242407523549,0.7734709797684052,0.2581048965768134,0.2412096035707692,0.20756760164936655,0.12807368581563797,0.23000417890844715,0.9469542907145451,0.212354671427479,0.18873902330542036,0.265218990826468,0.3265513380585662,0.17222580124630826,0.6909906458487892,0.16911310646387653
2012-02-24,0.33790273177035746,0.36216608429826513,0.03413526891870501,0.2893848204666183,0.38868165716915687,0.3082153011282357,0.4053311147985804,0.9449379594227223,0.7734709797684052,0.25654247654210366,0.23967884697068126,0.20675333331248635,0.12290151418562034,0.22945878115958457,0.9483621555378503,0.21167072179351284,0.18756313800956734,0.2656935108574567,0.3272048801320371,0.1722492922994274,0.6912345486299039,0.1694681759399115
2012-02-25,0.33795114430473505,0.36299570574176426,0.03405279048462923,0.2894257724704481,0.3891980871722415,0.30852970890287335,0.4055979542380057,0.9483516780930897,0.7734709797684052,0.2549800565073939,0.2381480903705933,0.20593906497560616,0.11772934255560273,0.22891338341072198,0.9497700203611555,0.21098677215954673,0.18638725271371434,0.2661680308884454,0.3278584222055079,0.17227278335254653,0.6914784514110185,0.16982324541594646
2012-02-26,0.33799955683911265,0.3638253271852634,0.03397031205055346,0.2894667244742779,0.3897145171753262,0.30884411667751094,0.40586479367743106,0.9517653967634572,0.7734709797684052,0.25341763647268417,0.23661733377050534,0.20512479663872596,0.11255717092558512,0.22836798566185942,0.9511778851844608,0.21030282252558058,0.18521136741786132,0.26664255091943406,0.3285119642789788,0.17229627440566564,0.691722354192133,0.1701783148919814
2012-02-27,0.3380479693734902,0.3646549486287625,0.03388783361647769,0.2895076764781077,0.3902309471784109,0.3091585244521486,0.40613163311685635,0.9551791154338246,0.7734709797684052,0.25185521643797437,0.2350865771704174,0.20431052830184576,0.1073849992955675,0.22782258791299684,0.952585750007766,0.20961887289161446,0.18403548212200832,0.26711707095042275,0.3291655063524497,0.17231976545878477,0.6919662569732477,0.17053338436801635
