구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년08월12일,1491.05,1474.08,1455.26,1454.55,1418.54,1474.40,1455.58,1475.76,1459.44,1447.85,1470.90,1446.05,1485.90,1476.43,1489.44,1425.77,
2008년08월13일,1457.96,1478.81,1450.40,1435.43,1438.81,1442.35,1487.88,1460.50,1435.14,1471.80,1469.03,1440.00,1448.25,1469.18,1475.52,1352.96,
2008년08월14일,1460.07,1435.07,1426.29,1423.66,1452.50,1420.13,1456.18,1441.77,1433.37,1427.55,1446.61,1431.58,1444.06,1462.68,1468.95,1351.86,
2008년08월15일,1444.56,1422.13,1428.25,1428.23,1478.33,1427.14,1484.16,1421.03,1421.84,1430.40,1437.36,1431.39,1465.90,1445.77,1447.04,1344.54,
2008년08월16일,1458.21,1445.30,1413.82,1389.20,1476.60,1429.06,1429.77,1426.02,1406.91,1437.44,1430.78,1422.55,1461.66,1453.17,1466.34,1349.66,
2008년08월17일,1459.15,1434.46,1411.92,1384.64,1446.66,1449.09,1430.33,1413.32,1399.51,1400.36,1394.38,1420.31,1410.09,1456.12,1455.00,1344.68,
2008년08월18일,1454.82,1426.18,1411.54,1416.61,1412.50,1405.85,1400.12,1418.53,1417.10,1423.53,1437.60,1417.42,1445.62,1444.24,1468.81,1346.11,
2008년08월19일,1438.50,1437.30,1409.17,1420.22,1432.80,1407.26,1421.55,1413.57,1419.12,1408.60,1441.90,1433.40,1383.11,1422.27,1419.04,1352.00,
2008년08월20일,1466.70,1424.46,1407.02,1393.93,1461.75,1404.88,1428.00,1419.21,1412.41,1407.21,1414.37,1419.46,1409.58,1428.06,1444.91,1350.35,
2008년08월21일,1390.89,1439.26,1403.62,1377.09,1470.00,1386.38,1385.22,1408.93,1391.28,1417.29,1402.52,1427.73,1400.36,1432.90,1422.70,1331.76,
2008년08월22일,1397.76,1431.70,1382.30,1383.30,1365.25,1368.61,1406.14,1379.89,1371.90,1385.82,1380.80,1447.50,1406.76,1417.96,1394.00,1308.33,
2008년08월23일,1390.73,1407.83,1366.35,1366.72,1392.25,1392.08,1414.33,1394.43,1378.01,1387.26,1376.07,1419.03,1396.63,1381.35,1402.29,1315.15,
2008년08월24일,1412.91,1394.61,1374.09,1389.60,1383.33,1369.82,1399.52,1387.14,1368.58,1362.30,1401.33,1422.07,1421.90,1406.39,1436.83,1314.40,
2008년08월25일,1374.93,1426.00,1387.42,1368.28,1362.00,1389.15,1380.10,1390.47,1356.93,1378.17,1375.33,1384.00,1401.60,1401.12,1423.91,1302.76,
2008년08월26일,1404.16,1415.64,1369.54,1366.59,1376.33,1419.15,1394.18,1379.02,1360.28,1376.60,1360.12,1377.34,1365.56,1396.64,1399.35,1305.47,
2008년08월27일,1399.75,1414.66,1369.70,1364.38,1352.00,1372.68,1372.92,1382.40,1351.72,1364.78,1373.10,1367.12,1373.26,1380.87,1386.31,1305.75,
2008년08월28일,1408.55,1400.09,1355.78,1378.54,1373.50,1385.15,1353.12,1384.72,1373.50,1342.04,1343.96,1351.70,1417.60,1373.10,1383.41,1287.05,
2008년08월29일,1386.96,1396.75,1357.82,1359.73,1418.85,1379.83,1370.80,1373.66,1352.08,1348.04,1355.83,1369.73,1395.28,1383.64,1400.60,1286.75,
2008년08월30일,1398.77,1412.57,1360.57,1368.23,1360.66,1386.47,1380.45,1377.45,1357.97,1331.66,1367.42,1354.65,1425.23,1381.47,1368.81,1282.75,
2008년08월31일,1420.20,1381.70,1346.87,1336.60,1396.50,1374.66,1388.41,1384.14,1344.40,1352.90,1371.89,1352.42,1360.75,1389.12,1366.25,1287.51,
2008년09월01일,1398.65,1377.46,1354.34,1385.00,1327.87,1369.72,1411.25,1374.87,1354.15,1334.35,1351.50,1416.94,1360.00,1375.02,1377.50,1279.81,
2008년09월02일,1374.16,1384.33,1351.88,1353.81,1317.71,1369.63,1378.50,1367.90,1345.71,1327.85,1342.90,1398.12,1365.85,1366.78,1357.46,1284.37,
2008년09월03일,1402.87,1365.27,1346.96,1360.34,1385.66,1369.26,1393.90,1381.64,1324.46,1338.14,1347.06,1369.76,1354.23,1370.24,1365.58,1286.94,
2008년09월04일,1413.70,1379.81,1358.54,1368.95,1396.00,1384.50,1379.94,1389.38,1351.86,1338.34,1346.22,1377.64,1392.66,1376.14,1378.92,1311.05,
2008년09월05일,1416.53,1382.35,1358.10,1358.04,1394.63,1376.40,1367.92,1384.27,1330.69,1332.08,1347.84,1349.45,1391.78,1383.72,1379.75,1308.59,
2008년09월06일,1419.21,1383.00,1355.10,1364.12,1331.37,1371.29,1417.00,1386.32,1338.55,1332.15,1352.34,1366.90,1403.07,1378.70,1382.06,1307.97,
2008년09월07일,1411.86,1393.80,1349.36,1374.47,1395.77,1362.68,1366.90,1379.35,1346.20,1344.21,1363.78,1361.35,1330.12,1381.89,1369.59,1310.28,
2008년09월08일,1396.05,1386.38,1348.35,1381.40,1409.45,1343.23,1411.57,1388.76,1339.40,1338.13,1351.12,1315.66,1378.84,1368.86,1356.07,1301.40,
2008년09월09일,1411.03,1414.10,1354.62,1364.07,1348.80,1341.07,1378.66,1379.26,1353.80,1340.82,1331.81,1358.44,1377.75,1368.81,1372.89,1303.61,
2008년09월10일,1400.76,1400.50,1361.73,1366.89,1398.40,1357.05,1387.61,1389.32,1336.00,1330.00,1387.85,1347.96,1392.69,1365.21,1369.15,1304.78,
2008년09월11일,1400.67,1388.63,1352.17,1389.76,1386.50,1357.06,1393.50,1375.68,1333.32,1329.33,1363.89,1343.04,1405.57,1362.26,1364.89,1303.34,
2008년09월12일,1424.05,1384.40,1356.92,1390.13,1381.28,1382.22,1388.88,1385.94,1339.32,1336.93,1356.68,1347.21,1406.56,1365.38,1393.20,1300.13,
2008년09월13일,1446.20,1418.07,1360.90,1401.40,1362.60,1328.76,1367.77,1398.27,1326.57,1320.36,1362.20,1361.84,1380.93,1361.91,1358.96,1300.09,
2008년09월14일,1453.44,1429.71,1379.65,1378.50,1411.12,1414.50,1418.71,1384.87,1340.40,1352.14,1345.25,1306.33,1320.90,1353.82,1367.70,1298.45,
2008년09월15일,1414.47,1394.70,1341.41,1383.33,1369.33,1350.00,1389.50,1389.21,1326.70,1319.94,1344.00,1361.50,1380.84,1358.32,1373.04,1301.38,
2008년09월16일,1406.00,1396.28,1342.17,1367.69,1320.90,1366.81,1389.62,1385.22,1334.93,1320.28,1348.40,1347.11,1368.72,1364.81,1377.96,1302.15,
2008년09월17일,1402.52,1419.21,1353.51,1356.78,1397.75,1377.31,1353.00,1394.26,1322.34,1334.42,1347.78,1316.85,1360.40,1352.22,1368.73,1299.94,
